trip_id,arrival_time,departure_time,stop_id,stop_sequence
M1_D0_1,06:00:00,06:00:00,AM1_KIZ,1
M1_D0_1,06:04:00,06:04:00,AM1_SHT,2
M1_D0_1,06:08:00,06:08:00,AM1_ULS,3
M1_D0_1,06:12:00,06:12:00,AM1_BAT,4
M1_D0_2,06:08:00,06:08:00,AM1_KIZ,1
M1_D0_2,06:12:00,06:12:00,AM1_SHT,2
M1_D0_2,06:16:00,06:16:00,AM1_ULS,3
M1_D0_2,06:20:00,06:20:00,AM1_BAT,4
M1_D0_3,06:16:00,06:16:00,AM1_KIZ,1
M1_D0_3,06:20:00,06:20:00,AM1_SHT,2
M1_D0_3,06:24:00,06:24:00,AM1_ULS,3
M1_D0_3,06:28:00,06:28:00,AM1_BAT,4
M1_D0_4,06:24:00,06:24:00,AM1_KIZ,1
M1_D0_4,06:28:00,06:28:00,AM1_SHT,2
M1_D0_4,06:32:00,06:32:00,AM1_ULS,3
M1_D0_4,06:36:00,06:36:00,AM1_BAT,4
M1_D0_5,06:32:00,06:32:00,AM1_KIZ,1
M1_D0_5,06:36:00,06:36:00,AM1_SHT,2
M1_D0_5,06:40:00,06:40:00,AM1_ULS,3
M1_D0_5,06:44:00,06:44:00,AM1_BAT,4
M1_D0_6,06:40:00,06:40:00,AM1_KIZ,1
M1_D0_6,06:44:00,06:44:00,AM1_SHT,2
M1_D0_6,06:48:00,06:48:00,AM1_ULS,3
M1_D0_6,06:52:00,06:52:00,AM1_BAT,4
M1_D0_7,06:48:00,06:48:00,AM1_KIZ,1
M1_D0_7,06:52:00,06:52:00,AM1_SHT,2
M1_D0_7,06:56:00,06:56:00,AM1_ULS,3
M1_D0_7,07:00:00,07:00:00,AM1_BAT,4
M1_D0_8,06:56:00,06:56:00,AM1_KIZ,1
M1_D0_8,07:00:00,07:00:00,AM1_SHT,2
M1_D0_8,07:04:00,07:04:00,AM1_ULS,3
M1_D0_8,07:08:00,07:08:00,AM1_BAT,4
M1_D0_9,07:00:00,07:00:00,AM1_KIZ,1
M1_D0_9,07:04:00,07:04:00,AM1_SHT,2
M1_D0_9,07:08:00,07:08:00,AM1_ULS,3
M1_D0_9,07:12:00,07:12:00,AM1_BAT,4
M1_D0_10,07:08:00,07:08:00,AM1_KIZ,1
M1_D0_10,07:12:00,07:12:00,AM1_SHT,2
M1_D0_10,07:16:00,07:16:00,AM1_ULS,3
M1_D0_10,07:20:00,07:20:00,AM1_BAT,4
M1_D0_11,07:16:00,07:16:00,AM1_KIZ,1
M1_D0_11,07:20:00,07:20:00,AM1_SHT,2
M1_D0_11,07:24:00,07:24:00,AM1_ULS,3
M1_D0_11,07:28:00,07:28:00,AM1_BAT,4
M1_D0_12,07:24:00,07:24:00,AM1_KIZ,1
M1_D0_12,07:28:00,07:28:00,AM1_SHT,2
M1_D0_12,07:32:00,07:32:00,AM1_ULS,3
M1_D0_12,07:36:00,07:36:00,AM1_BAT,4
M1_D0_13,07:32:00,07:32:00,AM1_KIZ,1
M1_D0_13,07:36:00,07:36:00,AM1_SHT,2
M1_D0_13,07:40:00,07:40:00,AM1_ULS,3
M1_D0_13,07:44:00,07:44:00,AM1_BAT,4
