trip_id,arrival_time,departure_time,stop_id,stop_sequence
S9_D0_1,05:00:00,05:00:00,S9_HBF,1
S9_D0_1,05:05:00,05:05:00,S9_FRS,2
S9_D0_1,05:10:00,05:10:00,S9_ALX,3
S9_D0_1,05:15:00,05:15:00,S9_OST,4
S9_D0_1,05:20:00,05:20:00,S9_SCH,5
S9_D0_1,05:25:00,05:25:00,S9_ADP,6
S9_D0_1,05:30:00,05:30:00,S9_BER,7
S9_D0_2,05:20:00,05:20:00,S9_HBF,1
S9_D0_2,05:25:00,05:25:00,S9_FRS,2
S9_D0_2,05:30:00,05:30:00,S9_ALX,3
S9_D0_2,05:35:00,05:35:00,S9_OST,4
S9_D0_2,05:40:00,05:40:00,S9_SCH,5
S9_D0_2,05:45:00,05:45:00,S9_ADP,6
S9_D0_2,05:50:00,05:50:00,S9_BER,7
S9_D0_3,05:40:00,05:40:00,S9_HBF,1
S9_D0_3,05:45:00,05:45:00,S9_FRS,2
S9_D0_3,05:50:00,05:50:00,S9_ALX,3
S9_D0_3,05:55:00,05:55:00,S9_OST,4
S9_D0_3,06:00:00,06:00:00,S9_SCH,5
S9_D0_3,06:05:00,06:05:00,S9_ADP,6
S9_D0_3,06:10:00,06:10:00,S9_BER,7
S9_D0_4,06:00:00,06:00:00,S9_HBF,1
S9_D0_4,06:05:00,06:05:00,S9_FRS,2
S9_D0_4,06:10:00,06:10:00,S9_ALX,3
S9_D0_4,06:15:00,06:15:00,S9_OST,4
S9_D0_4,06:20:00,06:20:00,S9_SCH,5
S9_D0_4,06:25:00,06:25:00,S9_ADP,6
S9_D0_4,06:30:00,06:30:00,S9_BER,7
S9_D0_5,06:20:00,06:20:00,S9_HBF,1
S9_D0_5,06:25:00,06:25:00,S9_FRS,2
S9_D0_5,06:30:00,06:30:00,S9_ALX,3
S9_D0_5,06:35:00,06:35:00,S9_OST,4
S9_D0_5,06:40:00,06:40:00,S9_SCH,5
S9_D0_5,06:45:00,06:45:00,S9_ADP,6
S9_D0_5,06:50:00,06:50:00,S9_BER,7
S9_D0_6,06:40:00,06:40:00,S9_HBF,1
S9_D0_6,06:45:00,06:45:00,S9_FRS,2
S9_D0_6,06:50:00,06:50:00,S9_ALX,3
S9_D0_6,06:55:00,06:55:00,S9_OST,4
S9_D0_6,07:00:00,07:00:00,S9_SCH,5
S9_D0_6,07:05:00,07:05:00,S9_ADP,6
S9_D0_6,07:10:00,07:10:00,S9_BER,7
S9_D0_7,07:00:00,07:00:00,S9_HBF,1
S9_D0_7,07:05:00,07:05:00,S9_FRS,2
S9_D0_7,07:10:00,07:10:00,S9_ALX,3
S9_D0_7,07:15:00,07:15:00,S9_OST,4
S9_D0_7,07:20:00,07:20:00,S9_SCH,5
S9_D0_7,07:25:00,07:25:00,S9_ADP,6
S9_D0_7,07:30:00,07:30:00,S9_BER,7
S9_D0_8,07:20:00,07:20:00,S9_HBF,1
S9_D0_8,07:25:00,07:25:00,S9_FRS,2
S9_D0_8,07:30:00,07:30:00,S9_ALX,3
S9_D0_8,07:35:00,07:35:00,S9_OST,4
S9_D0_8,07:40:00,07:40:00,S9_SCH,5
S9_D0_8,07:45:00,07:45:00,S9_ADP,6
S9_D0_8,07:50:00,07:50:00,S9_BER,7
S9_D0_9,07:40:00,07:40:00,S9_HBF,1
S9_D0_9,07:45:00,07:45:00,S9_FRS,2
S9_D0_9,07:50:00,07:50:00,S9_ALX,3
S9_D0_9,07:55:00,07:55:00,S9_OST,4
S9_D0_9,08:00:00,08:00:00,S9_SCH,5
S9_D0_9,08:05:00,08:05:00,S9_ADP,6
S9_D0_9,08:10:00,08:10:00,S9_BER,7
S9_D0_10,08:00:00,08:00:00,S9_HBF,1
S9_D0_10,08:05:00,08:05:00,S9_FRS,2
S9_D0_10,08:10:00,08:10:00,S9_ALX,3
S9_D0_10,08:15:00,08:15:00,S9_OST,4
S9_D0_10,08:20:00,08:20:00,S9_SCH,5
S9_D0_10,08:25:00,08:25:00,S9_ADP,6
S9_D0_10,08:30:00,08:30:00,S9_BER,7
S9_D0_11,08:20:00,08:20:00,S9_HBF,1
S9_D0_11,08:25:00,08:25:00,S9_FRS,2
S9_D0_11,08:30:00,08:30:00,S9_ALX,3
S9_D0_11,08:35:00,08:35:00,S9_OST,4
