trip_id,arrival_time,departure_time,stop_id,stop_sequence
S8_D0_1,05:00:00,05:00:00,SB_FRA,1
S8_D0_1,05:04:00,05:04:00,SB_STD,2
S8_D0_1,05:08:00,05:08:00,SB_SUD,3
S8_D0_1,05:12:00,05:12:00,SB_HBF,4
S8_D0_1,05:16:00,05:16:00,SB_KON,5
S8_D0_1,05:20:00,05:20:00,SB_OFB,6
S8_D0_2,05:15:00,05:15:00,SB_FRA,1
S8_D0_2,05:19:00,05:19:00,SB_STD,2
S8_D0_2,05:23:00,05:23:00,SB_SUD,3
S8_D0_2,05:27:00,05:27:00,SB_HBF,4
S8_D0_2,05:31:00,05:31:00,SB_KON,5
S8_D0_2,05:35:00,05:35:00,SB_OFB,6
S8_D0_3,05:30:00,05:30:00,SB_FRA,1
S8_D0_3,05:34:00,05:34:00,SB_STD,2
S8_D0_3,05:38:00,05:38:00,SB_SUD,3
S8_D0_3,05:42:00,05:42:00,SB_HBF,4
S8_D0_3,05:46:00,05:46:00,SB_KON,5
S8_D0_3,05:50:00,05:50:00,SB_OFB,6
S8_D0_4,05:45:00,05:45:00,SB_FRA,1
S8_D0_4,05:49:00,05:49:00,SB_STD,2
S8_D0_4,05:53:00,05:53:00,SB_SUD,3
S8_D0_4,05:57:00,05:57:00,SB_HBF,4
S8_D0_4,06:01:00,06:01:00,SB_KON,5
S8_D0_4,06:05:00,06:05:00,SB_OFB,6
S8_D0_5,06:00:00,06:00:00,SB_FRA,1
S8_D0_5,06:04:00,06:04:00,SB_STD,2
S8_D0_5,06:08:00,06:08:00,SB_SUD,3
S8_D0_5,06:12:00,06:12:00,SB_HBF,4
S8_D0_5,06:16:00,06:16:00,SB_KON,5
S8_D0_5,06:20:00,06:20:00,SB_OFB,6
S8_D0_6,06:15:00,06:15:00,SB_FRA,1
S8_D0_6,06:19:00,06:19:00,SB_STD,2
S8_D0_6,06:23:00,06:23:00,SB_SUD,3
S8_D0_6,06:27:00,06:27:00,SB_HBF,4
S8_D0_6,06:31:00,06:31:00,SB_KON,5
S8_D0_6,06:35:00,06:35:00,SB_OFB,6
S8_D0_7,06:30:00,06:30:00,SB_FRA,1
S8_D0_7,06:34:00,06:34:00,SB_STD,2
S8_D0_7,06:38:00,06:38:00,SB_SUD,3
S8_D0_7,06:42:00,06:42:00,SB_HBF,4
S8_D0_7,06:46:00,06:46:00,SB_KON,5
S8_D0_7,06:50:00,06:50:00,SB_OFB,6
S8_D0_8,06:45:00,06:45:00,SB_FRA,1
S8_D0_8,06:49:00,06:49:00,SB_STD,2
S8_D0_8,06:53:00,06:53:00,SB_SUD,3
S8_D0_8,06:57:00,06:57:00,SB_HBF,4
S8_D0_8,07:01:00,07:01:00,SB_KON,5
S8_D0_8,07:05:00,07:05:00,SB_OFB,6
S8_D0_9,07:00:00,07:00:00,SB_FRA,1
S8_D0_9,07:04:00,07:04:00,SB_STD,2
S8_D0_9,07:08:00,07:08:00,SB_SUD,3
S8_D0_9,07:12:00,07:12:00,SB_HBF,4
S8_D0_9,07:16:00,07:16:00,SB_KON,5
S8_D0_9,07:20:00,07:20:00,SB_OFB,6
S8_D0_10,07:15:00,07:15:00,SB_FRA,1
S8_D0_10,07:19:00,07:19:00,SB_STD,2
S8_D0_10,07:23:00,07:23:00,SB_SUD,3
S8_D0_10,07:27:00,07:27:00,SB_HBF,4
S8_D0_10,07:31:00,07:31:00,SB_KON,5
S8_D0_10,07:35:00,07:35:00,SB_OFB,6
S8_D0_11,07:30:00,07:30:00,SB_FRA,1
S8_D0_11,07:34:00,07:34:00,SB_STD,2
S8_D0_11,07:38:00,07:38:00,SB_SUD,3
S8_D0_11,07:42:00,07:42:00,SB_HBF,4
S8_D0_11,07:46:00,07:46:00,SB_KON,5
S8_D0_11,07:50:00,07:50:00,SB_OFB,6
S8_D0_12,07:45:00,07:45:00,SB_FRA,1
S8_D0_12,07:49:00,07:49:00,SB_STD,2
S8_D0_12,07:53:00,07:53:00,SB_SUD,3
S8_D0_12,07:57:00,07:57:00,SB_HBF,4
S8_D0_12,08:01:00,08:01:00,SB_KON,5
S8_D0_12,08:05:00,08:05:00,SB_OFB,6
S8_D0_13,08:00:00,08:00:00,SB_FRA,1
S8_D0_13,08:04:00,08:04:00,SB_STD,2
S8_D0_13,08:08:00,08:08:00,SB_SUD,3
S8_D0_13,08:12:00,08:12:00,SB_HBF,4
S8_D0_13,08:16:00,08:16:00,SB_KON,5
S8_D0_13,08:20:00,08:20:00,SB_OFB,6
S8_D0_14,08:15:00,08:15:00,SB_FRA,1
S8_D0_14,08:19:00,08:19:00,SB_STD,2
S8_D0_14,08:23:00,08:23:00,SB_SUD,3
S8_D0_14,08:27:00,08:27:00,SB_HBF,4
S8_D0_14,08:31:00,08:31:00,SB_KON,5
S8_D0_14,08:35:00,08:35:00,SB_OFB,6
S8_D0_15,08:30:00,08:30:00,SB_FRA,1
S8_D0_15,08:34:00,08:34:00,SB_STD,2
S8_D0_15,08:38:00,08:38:00,SB_SUD,3
S8_D0_15,08:42:00,08:42:00,SB_HBF,4
S8_D0_15,08:46:00,08:46:00,SB_KON,5
S8_D0_15,08:50:00,08:50:00,SB_OFB,6
S8_D0_16,08:45:00,08:45:00,SB_FRA,1
S8_D0_16,08:49:00,08:49:00,SB_STD,2
S8_D0_16,08:53:00,08:53:00,SB_SUD,3
S8_D0_16,08:57:00,08:57:00,SB_HBF,4
S8_D0_16,09:01:00,09:01:00,SB_KON,5
S8_D0_16,09:05:00,09:05:00,SB_OFB,6
S8_D0_17,09:00:00,09:00:00,SB_FRA,1
S8_D0_17,09:04:00,09:04:00,SB_STD,2
S8_D0_17,09:08:00,09:08:00,SB_SUD,3
S8_D0_17,09:12:00,09:12:00,SB_HBF,4
S8_D0_17,09:16:00,09:16:00,SB_KON,5
S8_D0_17,09:20:00,09:20:00,SB_OFB,6
S8_D0_18,09:15:00,09:15:00,SB_FRA,1
S8_D0_18,09:19:00,09:19:00,SB_STD,2
S8_D0_18,09:23:00,09:23:00,SB_SUD,3
S8_D0_18,09:27:00,09:27:00,SB_HBF,4
S8_D0_18,09:31:00,09:31:00,SB_KON,5
S8_D0_18,09:35:00,09:35:00,SB_OFB,6
S8_D0_19,09:30:00,09:30:00,SB_FRA,1
S8_D0_19,09:34:00,09:34:00,SB_STD,2
S8_D0_19,09:38:00,09:38:00,SB_SUD,3
S8_D0_19,09:42:00,09:42:00,SB_HBF,4
S8_D0_19,09:46:00,09:46:00,SB_KON,5
S8_D0_19,09:50:00,09:50:00,SB_OFB,6
S8_D0_20,09:45:00,09:45:00,SB_FRA,1
S8_D0_20,09:49:00,09:49:00,SB_STD,2
S8_D0_20,09:53:00,09:53:00,SB_SUD,3
S8_D0_20,09:57:00,09:57:00,SB_HBF,4
S8_D0_20,10:01:00,10:01:00,SB_KON,5
S8_D0_20,10:05:00,10:05:00,SB_OFB,6
S8_D0_21,10:00:00,10:00:00,SB_FRA,1
S8_D0_21,10:04:00,10:04:00,SB_STD,2
S8_D0_21,10:08:00,10:08:00,SB_SUD,3
S8_D0_21,10:12:00,10:12:00,SB_HBF,4
S8_D0_21,10:16:00,10:16:00,SB_KON,5
S8_D0_21,10:20:00,10:20:00,SB_OFB,6
S8_D0_22,10:15:00,10:15:00,SB_FRA,1
S8_D0_22,10:19:00,10:19:00,SB_STD,2
S8_D0_22,10:23:00,10:23:00,SB_SUD,3
S8_D0_22,10:27:00,10:27:00,SB_HBF,4
S8_D0_22,10:31:00,10:31:00,SB_KON,5
S8_D0_22,10:35:00,10:35:00,SB_OFB,6
S8_D0_23,10:30:00,10:30:00,SB_FRA,1
S8_D0_23,10:34:00,10:34:00,SB_STD,2
S8_D0_23,10:38:00,10:38:00,SB_SUD,3
S8_D0_23,10:42:00,10:42:00,SB_HBF,4
S8_D0_23,10:46:00,10:46:00,SB_KON,5
S8_D0_23,10:50:00,10:50:00,SB_OFB,6
S8_D0_24,10:45:00,10:45:00,SB_FRA,1
S8_D0_24,10:49:00,10:49:00,SB_STD,2
S8_D0_24,10:53:00,10:53:00,SB_SUD,3
S8_D0_24,10:57:00,10:57:00,SB_HBF,4
S8_D0_24,11:01:00,11:01:00,SB_KON,5
S8_D0_24,11:05:00,11:05:00,SB_OFB,6
S8_D0_25,11:00:00,11:00:00,SB_FRA,1
S8_D0_25,11:04:00,11:04:00,SB_STD,2
S8_D0_25,11:08:00,11:08:00,SB_SUD,3
S8_D0_25,11:12:00,11:12:00,SB_HBF,4
S8_D0_25,11:16:00,11:16:00,SB_KON,5
S8_D0_25,11:20:00,11:20:00,SB_OFB,6
S8_D0_26,11:15:00,11:15:00,SB_FRA,1
S8_D0_26,11:19:00,11:19:00,SB_STD,2
S8_D0_26,11:23:00,11:23:00,SB_SUD,3
S8_D0_26,11:27:00,11:27:00,SB_HBF,4
S8_D0_26,11:31:00,11:31:00,SB_KON,5
S8_D0_26,11:35:00,11:35:00,SB_OFB,6
S8_D0_27,11:30:00,11:30:00,SB_FRA,1
S8_D0_27,11:34:00,11:34:00,SB_STD,2
S8_D0_27,11:38:00,11:38:00,SB_SUD,3
S8_D0_27,11:42:00,11:42:00,SB_HBF,4
S8_D0_27,11:46:00,11:46:00,SB_KON,5
S8_D0_27,11:50:00,11:50:00,SB_OFB,6
S8_D0_28,11:45:00,11:45:00,SB_FRA,1
S8_D0_28,11:49:00,11:49:00,SB_STD,2
S8_D0_28,11:53:00,11:53:00,SB_SUD,3
S8_D0_28,11:57:00,11:57:00,SB_HBF,4
S8_D0_28,12:01:00,12:01:00,SB_KON,5
S8_D0_28,12:05:00,12:05:00,SB_OFB,6
S8_D0_29,12:00:00,12:00:00,SB_FRA,1
S8_D0_29,12:04:00,12:04:00,SB_STD,2
S8_D0_29,12:08:00,12:08:00,SB_SUD,3
S8_D0_29,12:12:00,12:12:00,SB_HBF,4
S8_D0_29,12:16:00,12:16:00,SB_KON,5
S8_D0_29,12:20:00,12:20:00,SB_OFB,6
S8_D0_30,12:15:00,12:15:00,SB_FRA,1
S8_D0_30,12:19:00,12:19:00,SB_STD,2
S8_D0_30,12:23:00,12:23:00,SB_SUD,3
S8_D0_30,12:27:00,12:27:00,SB_HBF,4
