route_id,service_id,trip_id,trip_headsign,direction_id
S8,WEEKDAY,S8_D0_1,Offenbach Ost,0
S8,WEEKDAY,S8_D0_2,Offenbach Ost,0
S8,WEEKDAY,S8_D0_3,Offenbach Ost,0
S8,WEEKDAY,S8_D0_4,Offenbach Ost,0
S8,WEEKDAY,S8_D0_5,Offenbach Ost,0
S8,WEEKDAY,S8_D0_6,Offenbach Ost,0
S8,WEEKDAY,S8_D0_7,Offenbach Ost,0
S8,WEEKDAY,S8_D0_8,Offenbach Ost,0
S8,WEEKDAY,S8_D0_9,Offenbach Ost,0
S8,WEEKDAY,S8_D0_10,Offenbach Ost,0
S8,WEEKDAY,S8_D0_11,Offenbach Ost,0
S8,WEEKDAY,S8_D0_12,Offenbach Ost,0
S8,WEEKDAY,S8_D0_13,Offenbach Ost,0
S8,WEEKDAY,S8_D0_14,Offenbach Ost,0
S8,WEEKDAY,S8_D0_15,Offenbach Ost,0
S8,WEEKDAY,S8_D0_16,Offenbach Ost,0
S8,WEEKDAY,S8_D0_17,Offenbach Ost,0
S8,WEEKDAY,S8_D0_18,Offenbach Ost,0
S8,WEEKDAY,S8_D0_19,Offenbach Ost,0
S8,WEEKDAY,S8_D0_20,Offenbach Ost,0
S8,WEEKDAY,S8_D0_21,Offenbach Ost,0
S8,WEEKDAY,S8_D0_22,Offenbach Ost,0
S8,WEEKDAY,S8_D0_23,Offenbach Ost,0
S8,WEEKDAY,S8_D0_24,Offenbach Ost,0
S8,WEEKDAY,S8_D0_25,Offenbach Ost,0
S8,WEEKDAY,S8_D0_26,Offenbach Ost,0
S8,WEEKDAY,S8_D0_27,Offenbach Ost,0
S8,WEEKDAY,S8_D0_28,Offenbach Ost,0
S8,WEEKDAY,S8_D0_29,Offenbach Ost,0
S8,WEEKDAY,S8_D0_30,Offenbach Ost,0
S8,WEEKDAY,S8_D0_31,Offenbach Ost,0
S8,WEEKDAY,S8_D0_32,Offenbach Ost,0
S8,WEEKDAY,S8_D0_33,Offenbach Ost,0
S8,WEEKDAY,S8_D0_34,Offenbach Ost,0
S8,WEEKDAY,S8_D0_35,Offenbach Ost,0
S8,WEEKDAY,S8_D0_36,Offenbach Ost,0
S8,WEEKDAY,S8_D0_37,Offenbach Ost,0
S8,WEEKDAY,S8_D0_38,Offenbach Ost,0
S8,WEEKDAY,S8_D0_39,Offenbach Ost,0
S8,WEEKDAY,S8_D0_40,Offenbach Ost,0
S8,WEEKDAY,S8_D0_41,Offenbach Ost,0
S8,WEEKDAY,S8_D0_42,Offenbach Ost,0
S8,WEEKDAY,S8_D0_43,Offenbach Ost,0
S8,WEEKDAY,S8_D0_44,Offenbach Ost,0
S8,WEEKDAY,S8_D0_45,Offenbach Ost,0
S8,WEEKDAY,S8_D0_46,Offenbach Ost,0
S8,WEEKDAY,S8_D0_47,Offenbach Ost,0
S8,WEEKDAY,S8_D0_48,Offenbach Ost,0
S8,WEEKDAY,S8_D0_49,Offenbach Ost,0
S8,WEEKDAY,S8_D0_50,Offenbach Ost,0
S8,WEEKDAY,S8_D0_51,Offenbach Ost,0
S8,WEEKDAY,S8_D0_52,Offenbach Ost,0
S8,WEEKDAY,S8_D0_53,Offenbach Ost,0
S8,WEEKDAY,S8_D0_54,Offenbach Ost,0
S8,WEEKDAY,S8_D0_55,Offenbach Ost,0
S8,WEEKDAY,S8_D0_56,Offenbach Ost,0
S8,WEEKDAY,S8_D0_57,Offenbach Ost,0
S8,WEEKDAY,S8_D0_58,Offenbach Ost,0
S8,WEEKDAY,S8_D0_59,Offenbach Ost,0
S8,WEEKDAY,S8_D0_60,Offenbach Ost,0
S8,WEEKDAY,S8_D0_61,Offenbach Ost,0
S8,WEEKDAY,S8_D0_62,Offenbach Ost,0
S8,WEEKDAY,S8_D0_63,Offenbach Ost,0
S8,WEEKDAY,S8_D0_64,Offenbach Ost,0
S8,WEEKDAY,S8_D0_65,Offenbach Ost,0
S8,WEEKDAY,S8_D0_66,Offenbach Ost,0
S8,WEEKDAY,S8_D0_67,Offenbach Ost,0
S8,WEEKDAY,S8_D0_68,Offenbach Ost,0
S8,WEEKDAY,S8_D0_69,Offenbach Ost,0
S8,WEEKDAY,S8_D0_70,Offenbach Ost,0
S8,WEEKDAY,S8_D0_71,Offenbach Ost,0
S8,WEEKDAY,S8_D0_72,Offenbach Ost,0
S8,WEEKDAY,S8_D0_73,Offenbach Ost,0
S8,WEEKDAY,S8_D0_74,Offenbach Ost,0
S8,WEEKDAY,S8_D0_75,Offenbach Ost,0
S8,WEEKDAY,S8_D0_76,Offenbach Ost,0
S8,WEEKDAY,S8_D1_77,Frankfurt Flughafen,1
S8,WEEKDAY,S8_D1_78,Frankfurt Flughafen,1
S8,WEEKDAY,S8_D1_79,Frankfurt Flughafen,1
S8,WEEKDAY,S8_D1_80,Frankfurt Flughafen,1
S8,WEEKDAY,S8_D1_81,Frankfurt Flughafen,1
S8,WEEKDAY,S8_D1_82,Frankfurt Flughafen,1
S8,WEEKDAY,S8_D1_83,Frankfurt Flughafen,1
