trip_id,arrival_time,departure_time,stop_id,stop_sequence
M1_D0_1,06:00:00,06:00:00,M1_YKP,1
M1_D0_1,06:03:00,06:03:00,M1_AKS,2
M1_D0_1,06:06:00,06:06:00,M1_EMN,3
M1_D0_1,06:09:00,06:09:00,M1_TPC,4
M1_D0_1,06:12:00,06:12:00,M1_BYP,5
M1_D0_1,06:15:00,06:15:00,M1_SAG,6
M1_D0_1,06:18:00,06:18:00,M1_KCP,7
M1_D0_1,06:21:00,06:21:00,M1_OPT,8
M1_D0_1,06:24:00,06:24:00,M1_DTL,9
M1_D0_1,06:27:00,06:27:00,M1_MRC,10
M1_D0_1,06:30:00,06:30:00,M1_ZYB,11
M1_D0_1,06:33:00,06:33:00,M1_BKR,12
M1_D0_1,06:36:00,06:36:00,M1_BSE,13
M1_D0_1,06:39:00,06:39:00,M1_ATR,14
M1_D0_2,06:10:00,06:10:00,M1_YKP,1
M1_D0_2,06:13:00,06:13:00,M1_AKS,2
M1_D0_2,06:16:00,06:16:00,M1_EMN,3
M1_D0_2,06:19:00,06:19:00,M1_TPC,4
M1_D0_2,06:22:00,06:22:00,M1_BYP,5
M1_D0_2,06:25:00,06:25:00,M1_SAG,6
M1_D0_2,06:28:00,06:28:00,M1_KCP,7
M1_D0_2,06:31:00,06:31:00,M1_OPT,8
M1_D0_2,06:34:00,06:34:00,M1_DTL,9
M1_D0_2,06:37:00,06:37:00,M1_MRC,10
M1_D0_2,06:40:00,06:40:00,M1_ZYB,11
M1_D0_2,06:43:00,06:43:00,M1_BKR,12
M1_D0_2,06:46:00,06:46:00,M1_BSE,13
M1_D0_2,06:49:00,06:49:00,M1_ATR,14
M1_D0_3,06:20:00,06:20:00,M1_YKP,1
M1_D0_3,06:23:00,06:23:00,M1_AKS,2
M1_D0_3,06:26:00,06:26:00,M1_EMN,3
M1_D0_3,06:29:00,06:29:00,M1_TPC,4
M1_D0_3,06:32:00,06:32:00,M1_BYP,5
M1_D0_3,06:35:00,06:35:00,M1_SAG,6
M1_D0_3,06:38:00,06:38:00,M1_KCP,7
M1_D0_3,06:41:00,06:41:00,M1_OPT,8
M1_D0_3,06:44:00,06:44:00,M1_DTL,9
M1_D0_3,06:47:00,06:47:00,M1_MRC,10
M1_D0_3,06:50:00,06:50:00,M1_ZYB,11
M1_D0_3,06:53:00,06:53:00,M1_BKR,12
M1_D0_3,06:56:00,06:56:00,M1_BSE,13
M1_D0_3,06:59:00,06:59:00,M1_ATR,14
M1_D0_4,06:30:00,06:30:00,M1_YKP,1
M1_D0_4,06:33:00,06:33:00,M1_AKS,2
M1_D0_4,06:36:00,06:36:00,M1_EMN,3
M1_D0_4,06:39:00,06:39:00,M1_TPC,4
M1_D0_4,06:42:00,06:42:00,M1_BYP,5
M1_D0_4,06:45:00,06:45:00,M1_SAG,6
M1_D0_4,06:48:00,06:48:00,M1_KCP,7
M1_D0_4,06:51:00,06:51:00,M1_OPT,8
M1_D0_4,06:54:00,06:54:00,M1_DTL,9
M1_D0_4,06:57:00,06:57:00,M1_MRC,10
M1_D0_4,07:00:00,07:00:00,M1_ZYB,11
M1_D0_4,07:03:00,07:03:00,M1_BKR,12
M1_D0_4,07:06:00,07:06:00,M1_BSE,13
M1_D0_4,07:09:00,07:09:00,M1_ATR,14
M1_D0_5,06:40:00,06:40:00,M1_YKP,1
M1_D0_5,06:43:00,06:43:00,M1_AKS,2
M1_D0_5,06:46:00,06:46:00,M1_EMN,3
M1_D0_5,06:49:00,06:49:00,M1_TPC,4
M1_D0_5,06:52:00,06:52:00,M1_BYP,5
M1_D0_5,06:55:00,06:55:00,M1_SAG,6
M1_D0_5,06:58:00,06:58:00,M1_KCP,7
M1_D0_5,07:01:00,07:01:00,M1_OPT,8
M1_D0_5,07:04:00,07:04:00,M1_DTL,9
M1_D0_5,07:07:00,07:07:00,M1_MRC,10
M1_D0_5,07:10:00,07:10:00,M1_ZYB,11
M1_D0_5,07:13:00,07:13:00,M1_BKR,12
M1_D0_5,07:16:00,07:16:00,M1_BSE,13
M1_D0_5,07:19:00,07:19:00,M1_ATR,14
M1_D0_6,06:50:00,06:50:00,M1_YKP,1
M1_D0_6,06:53:00,06:53:00,M1_AKS,2
M1_D0_6,06:56:00,06:56:00,M1_EMN,3
M1_D0_6,06:59:00,06:59:00,M1_TPC,4
M1_D0_6,07:02:00,07:02:00,M1_BYP,5
M1_D0_6,07:05:00,07:05:00,M1_SAG,6
M1_D0_6,07:08:00,07:08:00,M1_KCP,7
M1_D0_6,07:11:00,07:11:00,M1_OPT,8
M1_D0_6,07:14:00,07:14:00,M1_DTL,9
M1_D0_6,07:17:00,07:17:00,M1_MRC,10
M1_D0_6,07:20:00,07:20:00,M1_ZYB,11
M1_D0_6,07:23:00,07:23:00,M1_BKR,12
M1_D0_6,07:26:00,07:26:00,M1_BSE,13
M1_D0_6,07:29:00,07:29:00,M1_ATR,14
M1_D0_7,07:00:00,07:00:00,M1_YKP,1
M1_D0_7,07:03:00,07:03:00,M1_AKS,2
M1_D0_7,07:06:00,07:06:00,M1_EMN,3
M1_D0_7,07:09:00,07:09:00,M1_TPC,4
M1_D0_7,07:12:00,07:12:00,M1_BYP,5
M1_D0_7,07:15:00,07:15:00,M1_SAG,6
M1_D0_7,07:18:00,07:18:00,M1_KCP,7
M1_D0_7,07:21:00,07:21:00,M1_OPT,8
M1_D0_7,07:24:00,07:24:00,M1_DTL,9
M1_D0_7,07:27:00,07:27:00,M1_MRC,10
M1_D0_7,07:30:00,07:30:00,M1_ZYB,11
M1_D0_7,07:33:00,07:33:00,M1_BKR,12
M1_D0_7,07:36:00,07:36:00,M1_BSE,13
M1_D0_7,07:39:00,07:39:00,M1_ATR,14
M1_D0_8,07:10:00,07:10:00,M1_YKP,1
M1_D0_8,07:13:00,07:13:00,M1_AKS,2
