trip_id,arrival_time,departure_time,stop_id,stop_sequence
IZBAN_D0_1,06:00:00,06:00:00,IZBAN_MNV,1
IZBAN_D0_1,06:04:00,06:04:00,IZBAN_CGL,2
IZBAN_D0_1,06:08:00,06:08:00,IZBAN_KRS,3
IZBAN_D0_1,06:12:00,06:12:00,IZBAN_ALS,4
IZBAN_D0_1,06:16:00,06:16:00,IZBAN_HLK,5
IZBAN_D0_1,06:20:00,06:20:00,IZBAN_BYR,6
IZBAN_D0_1,06:24:00,06:24:00,IZBAN_BOR,7
IZBAN_D0_1,06:28:00,06:28:00,IZBAN_SRN,8
IZBAN_D0_1,06:32:00,06:32:00,IZBAN_GZM,9
IZBAN_D0_1,06:36:00,06:36:00,IZBAN_ADB,10
IZBAN_D0_2,06:12:00,06:12:00,IZBAN_MNV,1
IZBAN_D0_2,06:16:00,06:16:00,IZBAN_CGL,2
IZBAN_D0_2,06:20:00,06:20:00,IZBAN_KRS,3
IZBAN_D0_2,06:24:00,06:24:00,IZBAN_ALS,4
IZBAN_D0_2,06:28:00,06:28:00,IZBAN_HLK,5
IZBAN_D0_2,06:32:00,06:32:00,IZBAN_BYR,6
IZBAN_D0_2,06:36:00,06:36:00,IZBAN_BOR,7
IZBAN_D0_2,06:40:00,06:40:00,IZBAN_SRN,8
IZBAN_D0_2,06:44:00,06:44:00,IZBAN_GZM,9
IZBAN_D0_2,06:48:00,06:48:00,IZBAN_ADB,10
IZBAN_D0_3,06:24:00,06:24:00,IZBAN_MNV,1
IZBAN_D0_3,06:28:00,06:28:00,IZBAN_CGL,2
IZBAN_D0_3,06:32:00,06:32:00,IZBAN_KRS,3
IZBAN_D0_3,06:36:00,06:36:00,IZBAN_ALS,4
IZBAN_D0_3,06:40:00,06:40:00,IZBAN_HLK,5
IZBAN_D0_3,06:44:00,06:44:00,IZBAN_BYR,6
IZBAN_D0_3,06:48:00,06:48:00,IZBAN_BOR,7
IZBAN_D0_3,06:52:00,06:52:00,IZBAN_SRN,8
IZBAN_D0_3,06:56:00,06:56:00,IZBAN_GZM,9
IZBAN_D0_3,07:00:00,07:00:00,IZBAN_ADB,10
IZBAN_D0_4,06:36:00,06:36:00,IZBAN_MNV,1
IZBAN_D0_4,06:40:00,06:40:00,IZBAN_CGL,2
IZBAN_D0_4,06:44:00,06:44:00,IZBAN_KRS,3
IZBAN_D0_4,06:48:00,06:48:00,IZBAN_ALS,4
IZBAN_D0_4,06:52:00,06:52:00,IZBAN_HLK,5
IZBAN_D0_4,06:56:00,06:56:00,IZBAN_BYR,6
IZBAN_D0_4,07:00:00,07:00:00,IZBAN_BOR,7
IZBAN_D0_4,07:04:00,07:04:00,IZBAN_SRN,8
IZBAN_D0_4,07:08:00,07:08:00,IZBAN_GZM,9
IZBAN_D0_4,07:12:00,07:12:00,IZBAN_ADB,10
IZBAN_D0_5,06:48:00,06:48:00,IZBAN_MNV,1
IZBAN_D0_5,06:52:00,06:52:00,IZBAN_CGL,2
IZBAN_D0_5,06:56:00,06:56:00,IZBAN_KRS,3
IZBAN_D0_5,07:00:00,07:00:00,IZBAN_ALS,4
IZBAN_D0_5,07:04:00,07:04:00,IZBAN_HLK,5
IZBAN_D0_5,07:08:00,07:08:00,IZBAN_BYR,6
IZBAN_D0_5,07:12:00,07:12:00,IZBAN_BOR,7
IZBAN_D0_5,07:16:00,07:16:00,IZBAN_SRN,8
IZBAN_D0_5,07:20:00,07:20:00,IZBAN_GZM,9
IZBAN_D0_5,07:24:00,07:24:00,IZBAN_ADB,10
IZBAN_D0_6,07:00:00,07:00:00,IZBAN_MNV,1
IZBAN_D0_6,07:04:00,07:04:00,IZBAN_CGL,2
IZBAN_D0_6,07:08:00,07:08:00,IZBAN_KRS,3
IZBAN_D0_6,07:12:00,07:12:00,IZBAN_ALS,4
IZBAN_D0_6,07:16:00,07:16:00,IZBAN_HLK,5
IZBAN_D0_6,07:20:00,07:20:00,IZBAN_BYR,6
IZBAN_D0_6,07:24:00,07:24:00,IZBAN_BOR,7
IZBAN_D0_6,07:28:00,07:28:00,IZBAN_SRN,8
IZBAN_D0_6,07:32:00,07:32:00,IZBAN_GZM,9
IZBAN_D0_6,07:36:00,07:36:00,IZBAN_ADB,10
IZBAN_D0_7,07:12:00,07:12:00,IZBAN_MNV,1
IZBAN_D0_7,07:16:00,07:16:00,IZBAN_CGL,2
IZBAN_D0_7,07:20:00,07:20:00,IZBAN_KRS,3
IZBAN_D0_7,07:24:00,07:24:00,IZBAN_ALS,4
IZBAN_D0_7,07:28:00,07:28:00,IZBAN_HLK,5
IZBAN_D0_7,07:32:00,07:32:00,IZBAN_BYR,6
IZBAN_D0_7,07:36:00,07:36:00,IZBAN_BOR,7
IZBAN_D0_7,07:40:00,07:40:00,IZBAN_SRN,8
IZBAN_D0_7,07:44:00,07:44:00,IZBAN_GZM,9
IZBAN_D0_7,07:48:00,07:48:00,IZBAN_ADB,10
IZBAN_D0_8,07:24:00,07:24:00,IZBAN_MNV,1
IZBAN_D0_8,07:28:00,07:28:00,IZBAN_CGL,2
IZBAN_D0_8,07:32:00,07:32:00,IZBAN_KRS,3
IZBAN_D0_8,07:36:00,07:36:00,IZBAN_ALS,4
IZBAN_D0_8,07:40:00,07:40:00,IZBAN_HLK,5
IZBAN_D0_8,07:44:00,07:44:00,IZBAN_BYR,6
IZBAN_D0_8,07:48:00,07:48:00,IZBAN_BOR,7
IZBAN_D0_8,07:52:00,07:52:00,IZBAN_SRN,8
IZBAN_D0_8,07:56:00,07:56:00,IZBAN_GZM,9
IZBAN_D0_8,08:00:00,08:00:00,IZBAN_ADB,10
IZBAN_D0_9,07:36:00,07:36:00,IZBAN_MNV,1
IZBAN_D0_9,07:40:00,07:40:00,IZBAN_CGL,2
IZBAN_D0_9,07:44:00,07:44:00,IZBAN_KRS,3
IZBAN_D0_9,07:48:00,07:48:00,IZBAN_ALS,4
IZBAN_D0_9,07:52:00,07:52:00,IZBAN_HLK,5
IZBAN_D0_9,07:56:00,07:56:00,IZBAN_BYR,6
IZBAN_D0_9,08:00:00,08:00:00,IZBAN_BOR,7
IZBAN_D0_9,08:04:00,08:04:00,IZBAN_SRN,8
IZBAN_D0_9,08:08:00,08:08:00,IZBAN_GZM,9
IZBAN_D0_9,08:12:00,08:12:00,IZBAN_ADB,10
IZBAN_D0_10,07:48:00,07:48:00,IZBAN_MNV,1
IZBAN_D0_10,07:52:00,07:52:00,IZBAN_CGL,2
IZBAN_D0_10,07:56:00,07:56:00,IZBAN_KRS,3
IZBAN_D0_10,08:00:00,08:00:00,IZBAN_ALS,4
IZBAN_D0_10,08:04:00,08:04:00,IZBAN_HLK,5
IZBAN_D0_10,08:08:00,08:08:00,IZBAN_BYR,6
IZBAN_D0_10,08:12:00,08:12:00,IZBAN_BOR,7
IZBAN_D0_10,08:16:00,08:16:00,IZBAN_SRN,8
IZBAN_D0_10,08:20:00,08:20:00,IZBAN_GZM,9
IZBAN_D0_10,08:24:00,08:24:00,IZBAN_ADB,10
IZBAN_D0_11,08:00:00,08:00:00,IZBAN_MNV,1
IZBAN_D0_11,08:04:00,08:04:00,IZBAN_CGL,2
IZBAN_D0_11,08:08:00,08:08:00,IZBAN_KRS,3
IZBAN_D0_11,08:12:00,08:12:00,IZBAN_ALS,4
IZBAN_D0_11,08:16:00,08:16:00,IZBAN_HLK,5
IZBAN_D0_11,08:20:00,08:20:00,IZBAN_BYR,6
IZBAN_D0_11,08:24:00,08:24:00,IZBAN_BOR,7
IZBAN_D0_11,08:28:00,08:28:00,IZBAN_SRN,8
IZBAN_D0_11,08:32:00,08:32:00,IZBAN_GZM,9
IZBAN_D0_11,08:36:00,08:36:00,IZBAN_ADB,10
IZBAN_D0_12,08:12:00,08:12:00,IZBAN_MNV,1
IZBAN_D0_12,08:16:00,08:16:00,IZBAN_CGL,2
IZBAN_D0_12,08:20:00,08:20:00,IZBAN_KRS,3
IZBAN_D0_12,08:24:00,08:24:00,IZBAN_ALS,4
IZBAN_D0_12,08:28:00,08:28:00,IZBAN_HLK,5
IZBAN_D0_12,08:32:00,08:32:00,IZBAN_BYR,6
IZBAN_D0_12,08:36:00,08:36:00,IZBAN_BOR,7
IZBAN_D0_12,08:40:00,08:40:00,IZBAN_SRN,8
IZBAN_D0_12,08:44:00,08:44:00,IZBAN_GZM,9
IZBAN_D0_12,08:48:00,08:48:00,IZBAN_ADB,10
IZBAN_D0_13,08:24:00,08:24:00,IZBAN_MNV,1
IZBAN_D0_13,08:28:00,08:28:00,IZBAN_CGL,2
IZBAN_D0_13,08:32:00,08:32:00,IZBAN_KRS,3
IZBAN_D0_13,08:36:00,08:36:00,IZBAN_ALS,4
IZBAN_D0_13,08:40:00,08:40:00,IZBAN_HLK,5
IZBAN_D0_13,08:44:00,08:44:00,IZBAN_BYR,6
IZBAN_D0_13,08:48:00,08:48:00,IZBAN_BOR,7
IZBAN_D0_13,08:52:00,08:52:00,IZBAN_SRN,8
IZBAN_D0_13,08:56:00,08:56:00,IZBAN_GZM,9
IZBAN_D0_13,09:00:00,09:00:00,IZBAN_ADB,10
IZBAN_D0_14,08:36:00,08:36:00,IZBAN_MNV,1
IZBAN_D0_14,08:40:00,08:40:00,IZBAN_CGL,2
IZBAN_D0_14,08:44:00,08:44:00,IZBAN_KRS,3
IZBAN_D0_14,08:48:00,08:48:00,IZBAN_ALS,4
IZBAN_D0_14,08:52:00,08:52:00,IZBAN_HLK,5
IZBAN_D0_14,08:56:00,08:56:00,IZBAN_BYR,6
