route_id,service_id,trip_id,trip_headsign,direction_id
IZBAN,WEEKDAY,IZBAN_D0_1,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_2,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_3,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_4,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_5,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_6,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_7,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_8,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_9,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_10,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_11,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_12,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_13,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_14,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_15,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_16,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_17,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_18,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_19,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_20,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_21,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_22,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_23,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_24,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_25,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_26,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_27,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_28,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_29,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_30,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_31,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_32,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_33,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_34,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_35,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_36,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_37,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_38,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_39,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_40,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_41,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_42,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_43,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_44,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_45,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_46,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_47,Adnan Menderes,0
IZBAN,WEEKDAY,IZBAN_D0_48,Adnan Menderes,0
